[ID].json,label,statement,subject(s),speaker,speaker's job title,state info,party affiliation,barely true counts,false counts,half true counts,mostly true counts,pants on fire counts,venue
3672.json,half-true,"Rep. Paul Ryans Medicare plan lines the pockets of the private insurance companies, increases costs for seniors and does not reduce the deficit.","deficit,federal-budget,medicare,taxes",gerry-connolly,U.S. Representative,Virginia,democrat,1,0,4,1,0,a press release.
6318.json,barely-true,This year in Congress (Connie Mack IV) has missed almost half of his votes.,candidates-biography,dave-weldon,,Florida,republican,2,0,0,0,1,a robocall
10198.json,barely-true,"1/3 of our kids drop out (of high school), cannot go to college or start a career.","corrections-and-updates,education",jeb-bush,,Florida,republican,17,5,17,24,2,a fundraising letter
9960.json,barely-true,Not even old Gen. Eisenhower saluted military personnel as president.,"history,military",rachel-maddow,MSNBC host,,none,6,6,4,6,1,"her book ""Drift"""
3281.json,TRUE,"If Wisconsins governor cuts perquisites as much as he plans to do, it would still leave (workers) better off than their private sector counterparts.","labor,pundits,state-budget,abc-news-week",george-will,Columnist,Maryland,columnist,7,6,3,5,1,"ABC's ""This Week"""
12581.json,barely-true,"You cant get on an airplane, but more than 2,000 people on that list have been able to buy a gun.","guns,terrorism",john-garamendi,U.S. House of Representatives,California,democrat,1,0,0,1,0,a speech.
9596.json,FALSE,74 percent of Republicans support the Affordable Care Act.,"health-care,polls",donna-edwards,U.S. House of Representatives,Maryland,democrat,0,1,0,0,0,"a roundtable discussion on CNN's ""State of the Union"""
2143.json,half-true,"For every $1 spent on afterschool programs, we can save over $5, almost $6, in crime costs down the line.","crime,economy,education,poverty",peter-kilmartin,state representative,Rhode Island,democrat,0,0,2,1,1,a speech at the state Democratic convention
8405.json,half-true,"The federal government has $3 trillion in cash flow, so we can pay our bills and wont default.","debt,federal-budget",roger-williams,Businessman,Texas,republican,3,2,2,0,1,an interview as quoted in a news story
8794.json,FALSE,Says Alex Sink failed Florida homeowners by using predatory lending practices.,corporations,republican-party-florida,,,republican,10,6,6,6,4,a YouTube video
11196.json,barely-true,Over 40 percent of small and mid-size banks that loan money to small businesses have been wiped out since Dodd-Frank has passed.,financial-regulation,marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,the first GOP primary debate.
2917.json,barely-true,You cant check out a library book without a photo ID.,legal-issues,david-dewhurst,Lieutenant governor,Texas,republican,8,8,10,5,5,an interview.
11555.json,pants-fire,Says that Starbucks took Christmas off of their brand new cups.,religion,joshua-feuerstein,,,republican,0,0,0,0,1,a video
10449.json,mostly-true,Atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch.,sports,bill-belichick,,,none,0,0,0,1,0,a news conference
13223.json,FALSE,"Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding.",abortion,ted-cruz,Senator,Texas,republican,36,33,15,19,8,responding to an audience member's question at the Texas Tribune Festival.
10611.json,TRUE,"Under legislation that has cleared the Georgia House, some children who are legal refugees could obtain state scholarships to attend private schools.","autism,children,disability,education,families,immigration,state-budget,state-finances",associated-press,journalists,,none,0,0,0,0,0,article
2060.json,mostly-true,"We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year.","economy,government-efficiency,job-accomplishments",joe-biden,U.S. senator,Delaware,democrat,11,10,21,16,4,a news conference
4687.json,half-true,The STAR Ohio fund just received the highest possible credit rating one of these funds can receive.,"economy,job-accomplishments,state-finances",josh-mandel,Ohio treasurer,Ohio,republican,4,5,4,5,6,an email to supporters
7210.json,half-true,"Taxpayers are on the hook ... for less than a third of the proposed new Atlanta Falcons stadium, and those funds are repaid from money that comes from outsiders.","sports,state-finances",nathan-deal,,,republican,9,5,11,11,0,a television interview
5235.json,mostly-true,"In the last 22 months, businesses have created more than 3 million jobs. Last year, they created the most jobs since 2005.","corrections-and-updates,economy,jobs",barack-obama,President,Illinois,democrat,70,71,160,163,9,the State of the Union address
8210.json,half-true,"Every year, more than $40 million are leaving Missouri for the Lone Star State.",economy,rick-perry,Governor,Texas,republican,30,30,42,23,18,a radio ad
12185.json,mostly-true,A college loan is the only loan in the United States that you cannot refinance when interest rates go down.,"debt,economy,education",bill-clinton,former president,Arkansas,democrat,4,2,12,11,3,a campaign speech
1192.json,mostly-true,The House of Representatives has never passed a resolution of disapproval to condemn a member's behavior.,history,john-boehner,Speaker of the House of Representatives,Ohio,republican,13,22,11,4,2,a floor speech
10295.json,mostly-true,"We are younger than our competitors, and this is entirely because of immigration.",immigration,barack-obama,President,Illinois,democrat,70,71,160,163,9,a speech to business leaders
4332.json,half-true,Recent international reports show the United States near the bottom among industrialized nations for k-12 academic achievement.,education,chip-rogers,State Senator,Georgia,republican,1,0,1,1,0,a town hall meeting
4655.json,TRUE,"Says 24 million people in this country cant find a full-time job, 50 million cant see a doctor when theyre sick, 47 million people need government help to feed themselves and 15 million families owe more than the value of their home.",economy,alan-grayson,U.S. House of Representatives,Florida,democrat,6,5,4,11,1,"appearance on Bill Maher show on Oct. 7, 2011"
11215.json,half-true,"The policy mistakes that ... the Clintons made got us, in large degree, to the situation that we are in today with mass incarceration.",criminal-justice,julius-jones,Founder of Black Lives Matter Worcester,Massachusetts,activist,0,0,1,0,0,an interview on MSNBC
10796.json,barely-true,Says he raised average family income by 50 percent during his tenure as Arkansas governor.,"income,state-budget",mike-huckabee,author,Arkansas,republican,12,5,9,3,4,a video
2925.json,half-true,They tried to give us $400 million to build a high-speed train that goes 39 miles an hour.,"infrastructure,stimulus,transportation",john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,9,8,10,18,3,a CNN interview
2903.json,half-true,"Says the CBO estimates that fully extending the Bush tax cuts would add 600,000-1.4 million jobs in 2011 and 900,000-2.7 million jobs in 2012.","economy,taxes",national-association-manufacturers,Trade association,"Washington, D.C.",none,0,0,1,0,0,a statement
4181.json,TRUE,President Reagan did it (raised the debt ceiling) 18 times. George W. Bush did it seven times.,"bipartisanship,federal-budget",barack-obama,President,Illinois,democrat,70,71,160,163,9,a televised address
3615.json,half-true,"According to David Cay Johnston, the average American pays about 22 percent of their income to federal taxes. The richest 400 Americans pay about 16 percent of their income to federal taxes.","pundits,taxes",chris-hayes,"Host, All In",,none,0,0,1,0,0,"an interview on MSNBC's ""The Rachel Maddow Show"""
9031.json,FALSE,"Most young Americans right now, theyre not covered by health insurance.",health-care,barack-obama,President,Illinois,democrat,70,71,160,163,9,"a Funnyordie.com ""Between Two Ferns"" interview with Zach Galifianakis"
9838.json,mostly-true,"In 1952, the corporate income tax accounted for 33 percent of all federal tax revenue. Today, despite record-breaking profits, corporate taxes bring in less than 9 percent.","corporations,taxes",bernie-s,U.S. Senator,Vermont,independent,18,12,22,41,0,a meme on social media
7765.json,TRUE,"Over the last 10 years, Texas created 33 percent of the net new jobs nationwide.","economy,job-accomplishments,jobs",rick-perry,Governor,Texas,republican,30,30,42,23,18,an advertisement
7887.json,pants-fire,Says two-thirds of groups targeted for IRS scrutiny were not conservative.,taxes,progress-texas,,Texas,none,3,0,1,0,2,a tweet
11407.json,pants-fire,"In the class of 1968 at Patrice Lumumba University in Moscow, Mahmoud Abbas was one of the members of that class, and so was Ali Khamenei. And thats where they first established relationships with the young Vladimir Putin.","foreign-policy,history",ben-carson,,,republican,7,12,3,2,4,an interview with CNN's Wolf Blitzer
1616.json,half-true,"Last week the Texas State Board of Education (SBOE), led by Rick Perrys appointee, voted to remove Thomas Jefferson from social studies textbook standards. Thats right. Thomas Jefferson... was deleted from a list of historical figures who inspired political change.",education,bill-white,Former mayor of Houston,Texas,democrat,2,3,5,7,3,an e-mail
12265.json,barely-true,"As a U.S. senator with salary and perks, ‪#Bernie‬ is in the top 1 percent, but still paid only 13 percent in taxes last year.","income,taxes",dinesh-dsouza,Author and film director,California,none,1,0,0,0,1,a Facebook post
35.json,TRUE,"You know we can't just pull out now... The truth of the matter is: If we started today, it would take one year, one year to get 160,000 troops physically out of Iraq, logistically.",iraq,joe-biden,U.S. senator,Delaware,democrat,11,10,21,16,4,"CNN/YouTube debate in Charleston, S.C."
10663.json,half-true,"From 2013-2015, the richest 14 Americans increased their net wealth by more than $157 billion, yet the Republican budget would not require these Americans to contribute one penny to deficit reduction.","federal-budget,taxes,wealth",bernie-s,U.S. Senator,Vermont,independent,18,12,22,41,0,a Tweet
8147.json,half-true,"Says that while Foster was mayor, Rick Kriseman was ineffective in the Florida House of Representatives because there was no legislation that passed the House that had (Krisemans) name on it.","florida,states",bill-foster,"Mayor, St. Petersburg",Florida,republican,1,0,2,2,0,a mayoral forum
3625.json,mostly-true,Says Texas routinely gets a lot more federal spending than it pays in taxes.,"federal-budget,pundits,taxes",rachel-maddow,MSNBC host,,none,6,6,4,6,1,an episode of The Rachel Maddow Show.
1693.json,FALSE,Cell phone numbers go public this month.,consumer-safety,ken-legler,State House representative,Texas,republican,0,1,0,0,0,Facebook and Twitter posts
3433.json,barely-true,Says it has offered $12 million in savings through 2011 and $184 million in savings over the next 25 years in contract negotiations with the City of Milwaukee.,"city-budget,labor,state-budget",milwaukee-police-association,,Wisconsin,none,1,0,0,0,0,a newspaper ad
6597.json,FALSE,Clackamas County Commissioners approved a re-negotiated agreement to lower the countys contribution to TriMets Portland-Milwaukie Light Rail project to $19.9 million from $25 million.,"county-budget,county-government,debt,transportation",clackamas-county-commission,,,none,0,1,0,0,0,a press release
7571.json,mostly-true,Says Texas has 11 different felonies you can commit with an oyster.,"crime,criminal-justice,food-safety",scott-henson,"Writer, Grits for Breakfast blog",Texas,none,0,0,0,1,0,an interview.
6449.json,FALSE,The Obama administration is unwinding our nations welfare-to-work requirements.,welfare,bob-mcdonnell,Governor,Virginia,republican,6,5,7,6,3,an op-ed.
11510.json,TRUE,"Electric car sales in Georgia have dropped dramatically since a $5,000 tax credit was eliminated and a $200 annual registration fee was imposed July 1.","state-budget,taxes,transportation",don-francis,coordinator of the Clean Cities-Georgia Coalition,,none,0,0,0,0,0,an interview with Watchdog.org
8998.json,half-true,The Redskins Training Camp deal generated $40 million in new private investment in the city.,"city-government,job-accomplishments",dwight-jones,"Mayor, City of Richmond",Virginia,democrat,1,1,1,1,0,a speech
3443.json,half-true,The GOP budget plan would cut nearly a million jobs.,"economy,federal-budget,jobs",organizing-america,,,democrat,0,0,2,0,1,a Tweet.
10252.json,half-true,There are more people living in this country who were not born here than at anytime in the history of the country.,immigration,rick-santorum,,Pennsylvania,republican,12,16,13,7,5,"an interview on CNN's ""State of the Union"""
9393.json,half-true,Says Hillary Clinton defended Syrias President Assad as a possible reformer at the start of that countrys civil war.,foreign-policy,chris-wallace,Fox News Sunday host,,none,0,0,3,1,0,"comments on ""Fox News Sunday"""
4519.json,half-true,"The Postal Services financial losses result from a 2006 law that drains $5 billion a year from post office revenue, while the Postal Service is forced to overpay billions more into federal accounts.",federal-budget,save-americas-postal-service,,,none,0,0,1,0,0,a television ad
11291.json,mostly-true,As many as six federal department budget bills have been delayed because of opposition to amendments that would ban Confederate battle flag sales at federal building gift shops.,"congress,federal-budget,history",lloyd-doggett,Texas congressman in the U.S. Houst of Representatives,Texas,democrat,1,0,2,7,0,remarks in San Antonio
5110.json,pants-fire,"Shes voted for 60 tax increases, hurting the middle class and small businesses.",taxes,rob-cornilles,consultant,Oregon,republican,1,1,3,1,1,
6147.json,barely-true,"Now, in the House of Representatives, we have 40 different jobs bills that have passed and almost all of them have been bipartisan.","bipartisanship,jobs",frank-guinta,"U.S. Congress, NH-First District",New Hampshire,republican,1,1,1,1,0,a statement made after he filed for re-election at the N.H. Secretary of State’s office.
10548.json,pants-fire,"Sheila Jackson Lee of Texas said: Hey, all you wrinkly, white-aged has-beens: Its time for you to die and let the next generation have your spot on the planet.","candidates-biography,diversity,campaign-advertising",facebook-posts,Social media posting,,none,14,18,15,11,36,a meme supposedly quoting Sheila Jackson Lee
3110.json,barely-true,"Republican (small business tax cut) bill spends $80 million for better Google searches, not job creation","small-business,taxes",cory-mason,"State Assembly member, 62nd District",Wisconsin,democrat,2,0,0,0,0,a news release
9294.json,mostly-true,A 2013 state law would allow the operator of an iron ore mine in northern Wisconsin to fill in pristine streams and ponds with mine waste.,environment,dan-kaufman,,,none,0,0,1,1,0,an opinion article
12754.json,barely-true,America is one of the highest-taxed nations in the world.,taxes,donald-trump,President-Elect,New York,republican,63,114,51,37,61,the 2016 Republican National Convention
9853.json,FALSE,"If black America were a country, itd be the 15th wealthiest nation in the world.","corrections-and-updates,economy,poverty",larry-elder,Radio talk show host,,talk-show-host,1,3,0,0,0,comments on CNN
10931.json,half-true,"Since Republicans took over after the 2010 election, the graduation rate in Wisconsin has gone from 86 percent to 88 percent. The black graduation rate has gone from 60 percent to 65 percent. The Latino graduation rate has gone from 65 percent to 71 percent.",education,dale-kooyenga,State Representative,Wisconsin,republican,1,1,2,2,0,
11513.json,barely-true,"It has been estimated that nearly 40 percent of all guns sold in America are sold by private, unlicensed sellers either online or through gun shows.",guns,terry-mcauliffe,Governor,Virginia,democrat,12,6,2,2,3,an executive order.
979.json,TRUE,2008 was the deadliest year of the war (in Afghanistan) for American forces.,"afghanistan,military",barack-obama,President,Illinois,democrat,70,71,160,163,9,a speech at the White House. 
1702.json,mostly-true,"Florida teachers are ""already paid $5,000 below the national average.""",education,dan-gelber,,Florida,democrat,2,2,1,3,0,a letter posted on his campaign Web site.
4413.json,half-true,"Since Rick Perry became governor, Texas has gone from 46th in the country to 50th in the population that graduates from high school.","education,new-hampshire-2012",new-hampshire-democratic-party,,New Hampshire,democrat,4,0,3,3,0,an interview with the 'Telegraph.'
6014.json,TRUE,Says Amanda Fritz manages less than 5 percent of city operations.,city-government,mary-nolan,Represents Southwest Portland in Oregon House,Oregon,democrat,0,0,3,0,0,a debate.
10390.json,half-true,The streetcar project planned by Mayor Tom Barrett would be a 1900s style trolley.,transportation,jim-steineke,State Assembly representative,Wisconsin,republican,0,1,1,0,0,a tweet
3237.json,half-true,"Americans, in the last 30 years, have more than doubled the amount of money we are spending per child (on education) and the results have gotten worse, not better.",education,michelle-rhee,Founder and CEO of Students First,,none,0,0,1,0,0,talking to Florida legislators.
3695.json,barely-true,Polls show that Floridians dont want to repeal the Affordable Care Act.,"health-care,polls",joe-gibbons,State Representative,Florida,democrat,1,0,0,0,0,comments on the House floor
5631.json,FALSE,Says Congressman Bill Pascrell voted to remove the public option from the Affordable Health Care Act.,health-care,steve-rothman,,,democrat,1,2,0,1,1,an interview on NJToday
10691.json,TRUE,"Lawmakers were paid for their off-season efforts to, for the first time, take the lead in drawing borders for two would-be cities.",state-finances,mary-margaret-oliver,State Representative,Georgia,democrat,0,0,1,0,0,a House floor debate
9969.json,pants-fire,Greg Abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue.,"crime,ethics",wendy-davis,state senator,Texas,democrat,5,1,8,12,1,speaking to reporters
9784.json,TRUE,On offshore drilling for energy,"energy,voting-record",mark-warner,U.S. Senator,Virginia,democrat,3,1,6,3,0,
9835.json,barely-true,"Under a proposed medical marijuana amendment in Florida, you dont get refills -- you get it forever.","florida-amendments,health-care,marijuana",drug-free-america,,,none,1,0,0,0,0,"a ""Tampa Bay Times"" editorial meeting"
1340.json,pants-fire,"A data-storing microchip ""would be implanted in the majority of people who opt to become covered by the public health care option.""","health-care,privacy",chain-email,,,none,11,43,8,5,105,a widely circulated e-mail
5047.json,half-true,"Enacting the Right-to-Carry Act would amount to expanding the rights of sex offenders, terrorists, child predators, and abusers to carry concealed weapons across state lines.","crime,guns,legal-issues,public-safety",david-cicilline,mayor of Providence,Rhode Island,democrat,7,4,5,4,1,a fundraising letter
1375.json,TRUE,I haven't missed a vote since 1993.,history,chuck-grassley,U.S. senator,Iowa,republican,0,1,2,0,0,a conference call
5740.json,barely-true,Says the treasurers office has saved $37 million in management costs for the oversight of public investments.,government-efficiency,ted-wheeler,,,democrat,1,0,0,0,0,campaign website
6674.json,mostly-true,Says Georgia will send more state money per child to state charter schools and that budget cuts are not applied to those charter schools.,education,herb-garrett,Executive Director of the Georgia School Superintendents Association,Georgia,none,0,0,0,1,0,a letter
9896.json,FALSE,Jorge Elorza wants to impose a municipal income tax.,"city-budget,deficit,economy,taxes",vincent-buddy-cianci,,Rhode Island,independent,0,2,1,2,1,a radio interview
10879.json,barely-true,The Supreme Court cant overrule the other two branchesof government.,"history,supreme-court",mike-huckabee,author,Arkansas,republican,12,5,9,3,4,"an interview on ""Fox News Sunday"""
3393.json,pants-fire,Roughly 25% of RI has a criminal record,"crime,criminal-justice,jobs,labor,legal-issues",direct-action-rights-equality,,Rhode Island,organization,0,0,0,0,1,an online petition
9382.json,half-true,"Nathan Deal cut the HOPE scholarship program so that literally 100,000 Georgians will not be able to go to college or get technical training that they so badly needed to raise -- you know, give them a chance at a good job.",education,peter-shumlin,governor and chair of Democratic Governors Association,Vermont,democrat,0,0,1,0,0,MSNBC
173.json,half-true,"As governor of Arkansas, I cut taxes and fees almost 100 times, saving the taxpayers almost $380-million. I left a surplus of nearly $850-million.",taxes,mike-huckabee,author,Arkansas,republican,12,5,9,3,4,a news release.
6517.json,half-true,I havent raised taxes in the time Ive been the governor of New Jersey.,taxes,chris-christie,Governor of New Jersey,New Jersey,republican,10,17,27,19,8,a news conference
3204.json,FALSE,Massachusetts public schools teach kids as young as kindergartners about gay marriage.,"families,gays-and-lesbians,marriage,religion",national-organization-marriage,Nonprofit organization,Rhode Island,organization,0,1,0,0,1,a mailing to Rhode Island voters
88.json,pants-fire,I'm probably one of the four or five best-known Americans in the world.,candidates-biography,rudy-giuliani,Attorney,New York,republican,9,11,10,7,3,a comment to reporters in London.
9606.json,barely-true,We are accepting more legal immigrants than we ever have in the history (of the United States.),immigration,rick-santorum,,Pennsylvania,republican,12,16,13,7,5,"a ""Meet the Press"" pundit panel"
8491.json,TRUE,Congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure.,"foreign-policy,pundits,terrorism",jon-stewart,,,none,0,2,1,1,1,"in comments on Comedy Central's ""The Daily Show"""
8910.json,half-true,Six people in Florida die as a result of (not expanding Medicaid) every day.,"health-care,medicaid,poverty",charlie-crist,,Florida,democrat,15,9,20,19,2,"an interview on MSNBC's ""The Daily Rundown."""
11244.json,mostly-true,Gov. Maggie Hassans budget proposal raises taxes on small businesses and increases taxes and fees by $100 million.,"state-budget,taxes",americans-prosperity,,,none,6,7,2,1,2,TV ad
8174.json,barely-true,Only in Washington would politicians spend $27 million to teach Moroccans how to make pottery.,"federal-budget,government-efficiency",karen-handel,,,republican,2,0,3,3,1,a website posting
348.json,TRUE,"Hillary Clinton ""starts off with 47 percent of the country against her.""",elections,barack-obama,President,Illinois,democrat,70,71,160,163,9,"a campaign rally in Alexandria, Va."
10141.json,FALSE,SaysRand Paulhas put out budgets to cut the military in half.,"federal-budget,military",adam-kinzinger,U.S. Representative,Illinois,republican,0,2,1,0,0,"comments on ABC's ""This Week"""
2569.json,half-true,Groups that receive foreign money are spending huge sums to influence American elections.,"campaign-finance,corporations,abc-news-week",barack-obama,President,Illinois,democrat,70,71,160,163,9,a speech
5803.json,TRUE,Says legislative cuts mean Texas is spending on average $500 less per student.,"education,state-budget",donna-howard,Texas House Representative,Texas,democrat,1,0,1,2,0,remarks at a Texas Capitol rally
5345.json,half-true,"[A]t his current rate, President Obama will have added more debt to the United State of America by the end of his first term than each of the previous 43 presidents -- combined!",federal-budget,GaGOP,,,republican,2,1,1,0,0,a web post
12285.json,half-true,We know that Saudi Arabia started al-Qaida.,terrorism,bob-graham,,Florida,democrat,1,0,1,1,0,"an interview on NBC's ""Meet the Press"""
5970.json,mostly-true,Says Williamson County Attorney Jana Duty has never prosecuted a single adult felony case.,candidates-biography,john-bradley,Williamson County district attorney,Texas,republican,0,0,0,1,0,an op-ed in the Austin American-Statesman
9666.json,FALSE,"The fundraising numbers are in, and our grassroots support is unmatched!","campaign-finance,elections",glenn-grothman,"State Senator, 20th District",Wisconsin,republican,2,4,1,1,0,in a Facebook posting
4416.json,mostly-true,Issue 2 makes it illegal for us to negotiate for enough firefighters to do the job.,"elections,labor",we-are-ohio,,Ohio,none,2,0,0,1,0,a campaign commercial
3685.json,mostly-true,"Says although the unemployment rate seems to be improving, it does not reflect real job creation -- its caused by a shrinking of the actual labor force.","economy,jobs,pundits,abc-news-week",arianna-huffington,"Founder, The Huffington Post",,none,0,0,2,3,0,"a roundtable segment on ABC's ""This Week with Christiane Amanpour"""
3088.json,pants-fire,Gov. Scott Walker hired convicted Assembly Speaker Scott Jensen to oversee a raid on the state employee retirement system to help balance the state budget.,"labor,state-budget",chain-email,,,none,11,43,8,5,105,a chain email and -- briefly -- a union web site
685.json,barely-true,"Obama voted ""to cut off funding for our American troops on the battlefield.""",iraq,joe-lieberman,Senator,Connecticut,independent,1,1,0,2,0,"St. Paul, Minn."
10562.json,mostly-true,"In general, it appears Wisconsins right to work bill would likely apply to the Green Bay Packers players and their union.","corporations,labor,sports,unions,workers",jon-erpenbach,"State Senator, District 27",Wisconsin,democrat,3,0,0,1,0,a Facebook post
9630.json,mostly-true,"The so-called defense minister of the Peoples Republic of Donetsk ... actually posted a bragging social media posting of having shot down a military transport. And then when it became apparent it was civilian, they pulled it down from social media.","foreign-policy,military",john-kerry,Secretary of State,Massachusetts,democrat,3,2,2,5,0,"comments on ""Fox News Sunday"""
67.json,half-true,Democrats are kind of falling over each other seeing who can raise taxes faster. It looks like they're going to raise taxes anywhere between 20 to 30 percent.,taxes,rudy-giuliani,Attorney,New York,republican,9,11,10,7,3,"a speech in Laconia, New Hampshire."
7176.json,mostly-true,"Right now one of our highest job growth sectors is Leisure and Hospitality. Weve added jobs that mostly fall within the restaurant and bar sector industry. These are not high-paying jobs, as the U.S. Department of Labor estimates this is an industry sector with the lowest average wages and the lowest proportion of its workforce earning minimum or subminimum wage jobs.","economy,jobs,labor",lou-greenwald,State Assemblyman,New Jersey,democrat,0,1,1,2,2,a press conference in Trenton
8677.json,barely-true,"Gov. Scott Walker bought 80 new, brand-new vehicles for the state that we probably dont need.","government-efficiency,state-budget,state-finances,transportation",kathleen-vinehout,,,democrat,1,1,1,1,0,a meeting
6209.json,half-true,"Says he passed eight measures, including ones to prevent groping at airport security checks and to bar sanctuary cities in Texas.","candidates-biography,homeland-security,immigration,legal-issues,transportation",david-dewhurst,Lieutenant governor,Texas,republican,8,8,10,5,5,a speech to the Republican Party of Texas convention in Fort Worth.
2837.json,FALSE,Its gotten to a point where the average federal worker makes twice as much as the average private sector worker.,"economy,federal-budget,government-efficiency",john-boehner,Speaker of the House of Representatives,Ohio,republican,13,22,11,4,2,a news conference
4589.json,FALSE,These 15 political appointees (on the IPAB) will make all the major health care decisions for over 300 million Americans.,"health-care,new-hampshire-2012,abc-news-week",michele-bachmann,Congresswoman,Minnesota,republican,8,22,6,4,16,a debate in New Hampshire
4150.json,barely-true,Says stores will be barred from selling 100-watt light bulbs as of 2012.,energy,michael-burgess,U.S. House member,Texas,republican,1,1,0,0,0,a statement.
9169.json,TRUE,"Before our last three presidents, you have to go back to the 1800s, early 1800s to find three presidents in a row being consecutively re-elected.","elections,history",joe-scarborough,Host of a morning show on MSNBC,,none,1,4,3,3,0,"comments on MSNBC's ""Morning Joe"""
9434.json,barely-true,Jason Carter supports using Georgia tax dollars to promote Obamacare,health-care,republican-governors-association,,"Washington, D.C.",republican,5,1,6,4,2,In a television ad
549.json,mostly-true,"The most recent Associated Press poll has Nader-Gonzalez at 6 percent, without any national coverage, against McCain and Obama.",elections,ralph-nader,"Attorney, activist",Connecticut,independent,1,1,0,1,0,"an interview with ""Democracy Now!,"" an independent radio program"
10000.json,half-true,"Dan Patrick said that if women get paid less than a man for the same job, that thats not a problem.","jobs,women",leticia-van-de-putte,Pharmacist,Texas,democrat,2,2,4,1,1,a debate in Austin
9409.json,half-true,"Weve got an average of 5,600 soldiers committing suicide. Thats about 20 a day.","health-care,veterans",david-scott,Congressman ,Georgia,democrat,0,0,2,1,0,WABE
10359.json,barely-true,"There have even been Republican congressmen who have said, If you give us more money we dont know where we would even put additional Border Patrol agents.",immigration,craig-melvin,NBC News correspondent and MSNBC host,,journalist,1,0,0,0,0,an MSNBC segment
5279.json,TRUE,"Today, for the first time in fifteen years, Master Locks unionized plant in Milwaukee is running at full capacity.","jobs,trade",barack-obama,President,Illinois,democrat,70,71,160,163,9,the State of the Union speech
13006.json,TRUE,Tom Reed has actually voted for every single trade deal that has ever come before him in any form.,"jobs,trade",john-plumb,Candidate for Congress,New York,democrat,0,0,0,0,0,an interview on Capital Tonight.
10738.json,FALSE,"ISIS camp a few miles from Texas, Mexican authorities confirm.","immigration,military,terrorism",judicial-watch,,,organization,1,1,0,0,0,a web item
5629.json,FALSE,New federal projections estimate that the health care overhaul will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed.,health-care,tom-price,Congressman,Georgia,republican,1,2,5,3,0,a press release
4366.json,pants-fire,Say New Jersey Reps. Donald Payne and Frank Pallone are socialists who are openly serving in the U.S. Congress.,candidates-biography,blog-posting,,,none,7,19,3,5,44,web pages
11363.json,pants-fire,The unemployment rate may be as high as 42 percent.,"corrections-and-updates,economy,jobs",donald-trump,President-Elect,New York,republican,63,114,51,37,61,a press conference
8443.json,mostly-true,"Common Core is not from the federal government, they do not have their fingerprints on this thing at all.","children,education,federal-budget,government-regulation",sondy-pope,State Representative,Wisconsin,democrat,0,1,1,1,0,a radio interview
2806.json,FALSE,Social Security is indeed a Ponzi scheme.,social-security,rick-perry,Governor,Texas,republican,30,30,42,23,18,an interview.
11254.json,barely-true,"Says Scott Walker brags a lot about having an independent agency investigate police shootings. Of course, he didnt fund it.","city-government,civil-rights,criminal-justice,public-safety,state-budget",gwen-moore,U.S. House member -- 4th District,Wisconsin,democrat,3,4,4,3,1,comments to reporters
1736.json,mostly-true,What the Arizona law does is make a state crime out of something that already is... a federal crime.,immigration,george-will,Columnist,Maryland,columnist,7,6,3,5,1,a panel discussion on ABC This Week
4915.json,pants-fire,"When the country was founded, Congress had exactly the same attitude about the sanctity of Christmas celebrations that a 7-Eleven does today: Yeah, were open.","history,pop-culture,pundits,religion",jon-stewart,,,none,0,2,1,1,1,"a segment of ""The Daily Show"""
7847.json,mostly-true,"In Miami-Dade County, we spend at our school system over $20 million every year educating recent immigrants.","education,immigration",carlos-curbelo,Miami-Dade school board member,Florida,republican,0,1,0,1,0,a Fox News interview
947.json,FALSE,The omnibus bill has only $3.8 billion in earmarks.,federal-budget,democratic-congressional-leadership,,,democrat,0,1,0,0,0,statements to reporters.
11264.json,TRUE,Trump proposed enacting the largest tax increase in American history.,"candidates-biography,taxes",jeb-bush,,Florida,republican,17,5,17,24,2,a fundraising email
779.json,TRUE,"Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18-billion of our budget.",federal-budget,barack-obama,President,Illinois,democrat,70,71,160,163,9,"a debate in Nashville, Tenn."
12790.json,half-true,"Kim Myers voted repeatedly to raise taxes on the people of Broome County, but made millions off of tax savings when her family business relocated its headquarters.",taxes,claudia-tenney,Assemblywoman,New York,republican,0,0,1,0,0,a press release.
13004.json,half-true,"Californias Prop 60, which would requirecondom usein adult films, would put workers in the adult film industry at riskfor lawsuits and harassment.","government-regulation,public-health",no-60-campaign-against-condom-requirement-adult-fi,,,organization,0,0,1,0,0,in a campaign video advertisement
8637.json,TRUE,We pay among the highest tolls in the nation for the privilege of crossing that bridge.,transportation,loretta-weinberg,State Senator,,democrat,1,2,0,1,0,an interview on the John Gambling radio program
8762.json,half-true,"Sens. Isaksons, Chambliss Votes Against Unemployment Insurance Were Votes to Kill Nearly 6,000 Georgia Jobs.","federal-budget,jobs",americans-united-change,,,none,1,4,4,1,0,a press release
